model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Theta,Y601,54.64,42.87,12749.9,0
Prophet,Y601,0.9,0.91,260.91,0
Last Value,Y602,36.84,28.25,2772.0,0
Mean Value,Y602,107.0,263.56,17076.67,0
Random Walk,Y602,24.29,30.65,2147.48,0
Arima,Y602,36.76,33.31,2721.94,0
Theta,Y602,157.73,851.25,67146.0,0
Prophet,Y602,111.73,287.88,18806.43,0
Last Value,Y603,41.26,54.9,10661.0,0
Mean Value,Y603,76.7,129.38,26048.67,0
Random Walk,Y603,61.79,97.64,19230.27,0
Arima,Y603,39.82,52.73,10187.91,0
Theta,Y603,120.94,306.98,64862.0,0
Prophet,Y603,168.58,109.69,22181.0,0
Last Value,Y604,32.87,28.17,4051.13,0
Mean Value,Y604,72.8,53.34,7647.31,0
Random Walk,Y604,25.76,22.64,3269.86,0
Arima,Y604,32.91,28.2,4055.61,0
Theta,Y604,76.81,54.77,7899.95,0
Prophet,Y604,31.44,26.9,3891.27,0
Last Value,Y605,3.48,3.55,510.0,0
Mean Value,Y605,2.84,2.79,405.0,0
Random Walk,Y605,7.05,7.39,1066.96,0
Arima,Y605,3.75,3.83,551.26,0
Theta,Y605,19.89,18.08,2610.0,0
Prophet,Y605,12.2,13.01,1876.83,0
Last Value,Y606,4.98,5.15,430.0,0
Mean Value,Y606,5.28,5.47,457.0,0
Random Walk,Y606,2.2,2.25,178.77,0
Arima,Y606,4.81,4.98,415.1,0
Theta,Y606,6.52,6.83,570.0,0
Prophet,Y606,2.85,2.92,203.2,0
Last Value,Y607,4.5,4.63,1168.03,0
Mean Value,Y607,62.9,47.83,12278.08,0
Random Walk,Y607,25.21,29.34,7240.87,0
Arima,Y607,2.53,2.53,632.24,0
Theta,Y607,131.39,79.24,20300.34,0
Prophet,Y607,18.74,20.88,5392.91,0
Last Value,Y608,47.37,36.9,12633.22,0
Mean Value,Y608,52.11,39.99,13584.99,0
Random Walk,Y608,48.71,37.7,12878.21,0
Arima,Y608,49.71,38.29,13114.96,0
Theta,Y608,44.33,35.71,9577.7,0
Prophet,Y608,40.94,33.39,11226.71,0
Last Value,Y609,18.05,21.6,4483.24,0
Mean Value,Y609,76.96,55.2,13566.08,0
Random Walk,Y609,22.15,26.26,4441.56,0
Arima,Y609,14.41,16.77,3422.65,0
Theta,Y609,104.01,67.95,16510.37,0
Prophet,Y609,24.01,29.03,5004.2,0
Last Value,Y610,7.01,7.3,700.0,0
Mean Value,Y610,4.52,4.39,431.0,0
Random Walk,Y610,4.91,5.12,323.38,0
Arima,Y610,4.68,4.82,460.54,0
Theta,Y610,18.11,16.57,1610.0,0
Prophet,Y610,18.2,20.14,1939.61,0
Last Value,Y611,4.04,4.15,1620.0,0
Mean Value,Y611,6.35,6.13,2450.0,0
Random Walk,Y611,6.62,6.9,2662.25,0
Arima,Y611,2.37,2.39,911.04,0
Theta,Y611,15.79,14.56,5780.0,0
Prophet,Y611,8.11,8.48,3341.54,0
Last Value,Y612,7.55,7.27,1260.0,0
Mean Value,Y612,48.85,39.18,6703.0,0
Random Walk,Y612,7.02,6.74,444.36,0
Arima,Y612,5.43,5.39,912.25,0
Theta,Y612,84.1,59.18,10090.0,0
Prophet,Y612,5.21,5.04,475.12,0
Last Value,Y613,3.92,3.8,670.0,0
Mean Value,Y613,23.68,21.14,3655.0,0
Random Walk,Y613,2.07,2.05,352.0,0
Arima,Y613,2.08,2.12,149.13,0
Theta,Y613,35.38,30.04,5170.0,0
Prophet,Y613,3.08,3.13,290.77,0
Last Value,Y614,5.29,5.28,930.0,0
Mean Value,Y614,7.24,6.87,1254.0,0
Random Walk,Y614,4.17,4.31,721.47,0
Arima,Y614,6.6,6.33,1122.98,0
Theta,Y614,11.99,11.27,1880.0,0
Prophet,Y614,11.16,11.9,1957.76,0
Last Value,Y615,2.94,2.95,860.0,0
Mean Value,Y615,19.98,22.27,6418.0,0
Random Walk,Y615,12.06,11.34,2983.76,0
Arima,Y615,7.45,7.16,1883.81,0
Theta,Y615,28.17,32.99,9610.0,0
Prophet,Y615,1.54,1.53,452.98,0
Last Value,Y616,1.41,1.42,330.0,0
Mean Value,Y616,12.7,13.57,3155.0,0
Random Walk,Y616,7.34,6.95,1635.59,0
Arima,Y616,2.4,2.44,563.17,0
Theta,Y616,2.97,3.03,700.0,0
Prophet,Y616,16.45,17.93,4172.13,0
Last Value,Y617,12.7,11.63,1792.22,0
Mean Value,Y617,33.75,28.53,4218.69,0
Random Walk,Y617,17.73,15.48,2409.6,0
Arima,Y617,25.29,21.82,3298.49,0
Theta,Y617,65.89,49.56,7111.03,0
Prophet,Y617,6.98,7.23,877.08,0
Last Value,Y618,22.44,19.8,5149.4,0
Mean Value,Y618,46.06,37.18,9440.15,0
Random Walk,Y618,20.18,18.13,4206.75,0
Arima,Y618,37.34,30.89,7956.16,0
Theta,Y618,77.69,55.95,13969.71,0
Prophet,Y618,7.54,7.21,1553.6,0
Last Value,Y619,8.76,9.18,1092.5,0
Mean Value,Y619,62.46,47.59,5682.94,0
Random Walk,Y619,8.85,9.34,1108.59,0
Arima,Y619,1.69,1.67,196.13,0
Theta,Y619,106.69,69.58,8306.14,0
Prophet,Y619,11.61,12.66,1468.83,0
Last Value,Y620,4.08,3.96,600.0,0
Mean Value,Y620,23.13,20.67,3060.0,0
Random Walk,Y620,4.89,5.03,391.57,0
Arima,Y620,12.75,11.78,1770.48,0
Theta,Y620,70.98,52.27,7710.0,0
Prophet,Y620,11.95,12.72,1859.28,0
Last Value,Y621,9.64,9.13,2170.0,0
Mean Value,Y621,24.74,21.96,5170.0,0
Random Walk,Y621,9.9,9.32,2222.1,0
Arima,Y621,3.6,3.52,646.1,0
Theta,Y621,35.26,29.95,7030.0,0
Prophet,Y621,8.94,8.54,1917.3,0
Last Value,Y622,40.9,64.84,9574.0,0
Mean Value,Y622,35.43,54.31,7766.67,0
Random Walk,Y622,42.89,69.86,10317.11,0
Arima,Y622,37.28,57.9,8361.06,0
Theta,Y622,33.56,42.58,6427.0,0
Prophet,Y622,37.93,59.39,8583.65,0
Last Value,Y623,12.35,11.43,2659.61,0
Mean Value,Y623,23.15,20.4,4671.99,0
Random Walk,Y623,13.04,12.05,2788.02,0
Arima,Y623,15.14,13.71,3202.04,0
Theta,Y623,59.88,45.77,10254.66,0
Prophet,Y623,5.32,5.56,1095.98,0
Last Value,Y624,14.71,13.39,5317.76,0
Mean Value,Y624,31.89,27.23,10519.02,0
Random Walk,Y624,10.62,9.92,2888.31,0
Arima,Y624,8.64,8.16,3014.21,0
Theta,Y624,65.94,49.47,18824.9,0
Prophet,Y624,6.1,6.05,2261.6,0
Last Value,Y625,19.48,17.34,2860.47,0
Mean Value,Y625,45.21,36.6,5847.03,0
Random Walk,Y625,36.11,29.69,4840.21,0
Arima,Y625,17.88,15.98,2651.41,0
Theta,Y625,74.91,54.36,8570.23,0
Prophet,Y625,9.15,8.53,1201.45,0
Last Value,Y626,0.92,0.91,520.0,0
Mean Value,Y626,1.29,1.28,732.0,0
Random Walk,Y626,2.43,2.39,1362.73,0
Arima,Y626,3.17,3.12,1773.65,0
Theta,Y626,19.29,17.04,9720.0,0
Prophet,Y626,5.15,5.29,3002.04,0
Last Value,Y627,19.26,22.43,4470.0,0
Mean Value,Y627,24.99,21.64,5033.33,0
Random Walk,Y627,18.92,22.2,3813.75,0
Arima,Y627,18.26,21.13,4161.34,0
Theta,Y627,122.24,75.79,16710.0,0
Prophet,Y627,48.79,68.8,14132.6,0
Last Value,Y628,6.07,5.83,1613.0,0
Mean Value,Y628,24.86,22.07,6004.4,0
Random Walk,Y628,8.07,7.67,2114.59,0
Arima,Y628,0.92,0.93,220.15,0
Theta,Y628,35.85,30.38,8213.0,0
Prophet,Y628,1.72,1.73,248.78,0
Last Value,Y629,1.04,1.03,86.0,0
Mean Value,Y629,8.72,8.35,695.2,0
Random Walk,Y629,3.05,3.1,216.76,0
Arima,Y629,0.93,0.93,77.1,0
Theta,Y629,5.56,5.33,396.0,0
Prophet,Y629,2.27,2.3,151.9,0
Last Value,Y630,2.14,2.11,1270.0,0
Mean Value,Y630,5.83,5.65,3379.0,0
Random Walk,Y630,1.92,1.9,1017.75,0
Arima,Y630,3.04,2.98,1788.18,0
Theta,Y630,24.97,21.99,13150.0,0
Prophet,Y630,10.95,11.6,6915.81,0
Last Value,Y631,13.47,12.45,8580.0,0
Mean Value,Y631,43.84,35.86,24186.0,0
Random Walk,Y631,3.78,3.74,2102.64,0
Arima,Y631,4.49,4.37,1916.45,0
Theta,Y631,61.49,47.0,31380.0,0
Prophet,Y631,5.28,5.12,2036.34,0
Last Value,Y632,5.31,5.13,553.8,0
Mean Value,Y632,22.33,20.05,2137.95,0
Random Walk,Y632,1.41,1.4,149.2,0
Arima,Y632,10.18,9.61,1032.98,0
Theta,Y632,49.1,39.32,4189.8,0
Prophet,Y632,5.96,6.15,486.94,0
Last Value,Y633,4.16,4.24,1260.0,0
Mean Value,Y633,7.77,8.08,2400.0,0
Random Walk,Y633,2.35,2.39,683.83,0
Arima,Y633,4.12,4.21,1248.69,0
Theta,Y633,17.53,15.5,4600.0,0
Prophet,Y633,11.95,12.72,3775.5,0
Last Value,Y634,5.26,5.09,649.0,0
Mean Value,Y634,8.32,7.96,1009.3,0
Random Walk,Y634,6.76,6.51,825.87,0
Arima,Y634,15.35,14.14,1793.75,0
Theta,Y634,38.72,31.33,3985.0,0
Prophet,Y634,3.49,3.56,359.04,0
Last Value,Y635,6.57,6.33,570.0,0
Mean Value,Y635,51.11,40.69,3629.4,0
Random Walk,Y635,4.55,4.39,199.18,0
Arima,Y635,3.31,3.23,280.95,0
Theta,Y635,96.49,65.08,5799.0,0
Prophet,Y635,5.83,6.12,452.89,0
Last Value,Y636,2.02,2.04,828.0,0
Mean Value,Y636,40.05,33.36,13566.72,0
Random Walk,Y636,13.21,12.17,4951.66,0
Arima,Y636,3.51,3.57,1452.25,0
Theta,Y636,80.44,57.33,23305.2,0
Prophet,Y636,18.72,17.12,6960.26,0
Last Value,Y637,3.64,3.71,1091.3,0
Mean Value,Y637,13.93,13.02,3831.85,0
Random Walk,Y637,8.06,8.47,2485.93,0
Arima,Y637,6.39,6.62,1943.34,0
Theta,Y637,28.61,24.98,7352.5,0
Prophet,Y637,31.85,27.47,8080.11,0
Last Value,Y638,1.42,1.42,159.8,0
Mean Value,Y638,12.52,11.77,1330.95,0
Random Walk,Y638,1.13,1.12,117.42,0
Arima,Y638,1.97,1.99,222.98,0
Theta,Y638,22.98,20.47,2319.3,0
Prophet,Y638,31.75,27.39,3093.07,0
Last Value,Y639,9.97,9.35,1201.85,0
Mean Value,Y639,78.35,56.25,7014.78,0
Random Walk,Y639,21.75,19.0,2428.03,0
Arima,Y639,2.18,2.14,228.63,0
Theta,Y639,139.66,82.24,10225.58,0
Prophet,Y639,40.4,33.54,4196.98,0
Last Value,Y640,5.75,5.59,760.3,0
Mean Value,Y640,25.41,22.54,3066.36,0
Random Walk,Y640,16.58,15.16,2063.34,0
Arima,Y640,2.78,2.73,371.81,0
Theta,Y640,53.17,41.99,5711.2,0
Prophet,Y640,47.74,38.54,5241.2,0
Last Value,Y641,2.4,2.42,250.0,0
Mean Value,Y641,4.33,4.45,456.0,0
Random Walk,Y641,3.81,3.89,400.01,0
Arima,Y641,4.83,4.97,509.72,0
Theta,Y641,9.09,8.49,850.0,0
Prophet,Y641,1.88,1.85,150.7,0
Last Value,Y642,3.45,3.36,295.0,0
Mean Value,Y642,20.82,18.8,1613.4,0
Random Walk,Y642,2.8,2.74,174.82,0
Arima,Y642,13.7,12.63,1096.56,0
Theta,Y642,54.21,42.51,3639.0,0
Prophet,Y642,13.65,14.65,1247.74,0
Last Value,Y643,4.96,5.14,860.0,0
Mean Value,Y643,8.68,8.27,1431.0,0
Random Walk,Y643,1.25,1.25,189.19,0
Arima,Y643,8.66,9.2,1542.87,0
Theta,Y643,15.47,14.22,2460.0,0
Prophet,Y643,12.09,13.11,2202.26,0
Last Value,Y644,6.45,6.73,1470.0,0
Mean Value,Y644,6.57,6.27,1456.0,0
Random Walk,Y644,10.73,11.71,2187.89,0
Arima,Y644,6.23,6.49,1417.51,0
Theta,Y644,38.33,32.11,7240.0,0
Prophet,Y644,29.89,35.32,7882.7,0
Last Value,Y645,7.41,6.99,579.0,0
Mean Value,Y645,11.37,10.6,863.5,0
Random Walk,Y645,11.61,10.53,875.78,0
Arima,Y645,11.99,11.09,906.76,0
Theta,Y645,37.63,31.04,2500.0,0
Prophet,Y645,5.38,5.6,388.82,0
Last Value,Y646,1.94,1.9,270.0,0
Mean Value,Y646,18.43,16.86,2344.0,0
Random Walk,Y646,4.2,4.09,562.58,0
Arima,Y646,6.09,6.28,704.11,0
Theta,Y646,25.69,22.75,3160.0,0
Prophet,Y646,5.87,6.04,619.45,0
Last Value,Y647,2.52,2.55,1600.0,0
Mean Value,Y647,8.1,7.79,4895.0,0
Random Walk,Y647,3.12,3.04,1875.2,0
Arima,Y647,4.54,4.66,2922.47,0
Theta,Y647,27.08,23.85,14990.0,0
Prophet,Y647,5.36,5.52,3462.81,0
Last Value,Y648,5.87,5.62,3647.0,0
Mean Value,Y648,9.18,8.69,5582.3,0
Random Walk,Y648,5.42,5.24,2462.56,0
Arima,Y648,9.82,9.27,5947.71,0
Theta,Y648,31.28,26.73,17030.0,0
Prophet,Y648,3.47,3.57,2141.83,0
Last Value,Y649,7.0,6.71,720.0,0
Mean Value,Y649,11.26,10.61,1131.0,0
Random Walk,Y649,2.7,2.66,168.18,0
Arima,Y649,7.0,6.71,719.52,0
Theta,Y649,8.19,7.78,550.0,0
Prophet,Y649,4.96,4.8,469.09,0
Last Value,Y650,8.91,8.37,3910.0,0
Mean Value,Y650,23.32,20.74,9434.0,0
Random Walk,Y650,7.14,6.82,2180.24,0
Arima,Y650,14.03,12.9,5959.59,0
Theta,Y650,48.27,38.72,17480.0,0
Prophet,Y650,5.56,5.78,1905.13,0
Last Value,Y651,3.52,3.43,590.0,0
Mean Value,Y651,22.42,20.13,3404.0,0
Random Walk,Y651,5.74,5.83,859.32,0
Arima,Y651,4.85,5.01,785.38,0
Theta,Y651,41.66,34.38,5780.0,0
Prophet,Y651,6.85,7.3,1198.76,0
Last Value,Y652,4.84,4.72,582.74,0
Mean Value,Y652,15.52,14.39,1772.39,0
Random Walk,Y652,1.17,1.16,128.45,0
Arima,Y652,4.56,4.45,548.97,0
Theta,Y652,20.54,18.63,2292.35,0
Prophet,Y652,19.61,17.85,2198.18,0
Last Value,Y653,3.88,3.81,1148.8,0
Mean Value,Y653,37.71,31.73,9566.08,0
Random Walk,Y653,12.07,11.25,3397.67,0
Arima,Y653,2.59,2.55,770.19,0
Theta,Y653,51.93,41.18,12412.9,0
Prophet,Y653,22.39,20.13,6070.52,0
Last Value,Y654,2.16,2.19,417.9,0
Mean Value,Y654,10.49,11.08,2130.06,0
Random Walk,Y654,1.1,1.1,188.51,0
Arima,Y654,2.21,2.25,428.43,0
Theta,Y654,20.87,23.48,4505.4,0
Prophet,Y654,16.68,18.22,3503.73,0
Last Value,Y655,9.56,10.1,2110.0,0
Mean Value,Y655,4.32,4.44,922.0,0
Random Walk,Y655,12.89,13.9,2906.36,0
Arima,Y655,10.5,11.13,2328.81,0
Theta,Y655,5.12,5.28,1100.0,0
Prophet,Y655,10.51,11.15,2333.56,0
Last Value,Y656,6.5,6.21,782.0,0
Mean Value,Y656,4.35,4.27,531.0,0
Random Walk,Y656,7.5,7.12,867.04,0
Arima,Y656,8.47,8.03,1005.01,0
Theta,Y656,15.11,13.85,1725.0,0
Prophet,Y656,6.46,6.22,777.42,0
Last Value,Y657,7.5,7.18,2918.0,0
Mean Value,Y657,29.03,25.31,10178.0,0
Random Walk,Y657,3.57,3.5,844.09,0
Arima,Y657,0.71,0.71,283.97,0
Theta,Y657,39.14,32.7,13076.0,0
Prophet,Y657,0.99,1.0,406.43,0
Last Value,Y658,2.48,2.51,287.0,0
Mean Value,Y658,4.26,4.17,479.5,0
Random Walk,Y658,2.5,2.53,284.42,0
Arima,Y658,1.82,1.84,209.46,0
Theta,Y658,19.72,17.92,2059.0,0
Prophet,Y658,4.76,4.88,559.2,0
Last Value,Y659,0.91,0.92,160.0,0
Mean Value,Y659,11.59,12.31,2154.0,0
Random Walk,Y659,1.79,1.81,296.31,0
Arima,Y659,1.09,1.1,191.4,0
Theta,Y659,10.53,11.14,1950.0,0
Prophet,Y659,2.22,2.22,348.67,0
Last Value,Y660,1.18,1.17,79.0,0
Mean Value,Y660,11.26,10.65,716.42,0
Random Walk,Y660,5.65,5.87,375.31,0
Arima,Y660,2.41,2.38,160.19,0
Theta,Y660,31.66,27.29,1834.0,0
Prophet,Y660,40.13,33.42,2246.39,0
Last Value,Y661,6.74,6.43,1520.0,0
Mean Value,Y661,20.22,18.29,4235.0,0
Random Walk,Y661,8.14,8.13,1794.29,0
Arima,Y661,19.42,17.65,4060.48,0
Theta,Y661,44.81,36.29,8390.0,0
Prophet,Y661,19.0,21.43,4822.11,0
Last Value,Y662,3.32,3.38,240.0,0
Mean Value,Y662,8.82,8.45,602.1,0
Random Walk,Y662,3.55,3.67,242.81,0
Arima,Y662,7.1,7.39,525.19,0
Theta,Y662,22.56,20.25,1443.0,0
Prophet,Y662,7.37,7.68,546.06,0
Last Value,Y663,3.01,3.06,773.0,0
Mean Value,Y663,0.81,0.81,206.1,0
Random Walk,Y663,1.26,1.27,230.83,0
Arima,Y663,3.49,3.56,898.73,0
Theta,Y663,4.09,3.98,1015.0,0
Prophet,Y663,3.47,3.54,886.98,0
Last Value,Y664,3.53,3.45,715.0,0
Mean Value,Y664,10.76,10.17,2087.1,0
Random Walk,Y664,5.07,4.9,1018.27,0
Arima,Y664,19.27,17.27,3561.97,0
Theta,Y664,29.13,25.42,5169.0,0
Prophet,Y664,4.31,4.43,824.51,0
Last Value,Y665,2.74,2.69,610.0,0
Mean Value,Y665,19.57,17.79,3974.0,0
Random Walk,Y665,7.37,6.94,1577.85,0
Arima,Y665,4.26,4.37,743.63,0
Theta,Y665,34.92,29.68,6590.0,0
Prophet,Y665,5.21,5.36,1010.98,0
Last Value,Y666,5.68,5.69,870.0,0
Mean Value,Y666,13.97,15.26,2250.0,0
Random Walk,Y666,9.78,10.31,898.77,0
Arima,Y666,22.72,19.85,3113.14,0
Theta,Y666,34.99,28.44,4470.0,0
Prophet,Y666,34.07,41.2,6212.01,0
Last Value,Y667,2.94,2.89,269.0,0
Mean Value,Y667,1.41,1.4,130.6,0
Random Walk,Y667,6.32,6.08,565.11,0
Arima,Y667,8.25,7.91,733.48,0
Theta,Y667,14.08,13.14,1217.0,0
Prophet,Y667,3.02,2.97,274.31,0
Last Value,Y668,1.89,1.85,190.0,0
Mean Value,Y668,1.14,1.12,116.0,0
Random Walk,Y668,10.6,9.96,993.99,0
Arima,Y668,3.03,3.05,307.02,0
Theta,Y668,8.77,9.32,660.0,0
Prophet,Y668,28.92,25.23,2529.27,0
Last Value,Y669,6.46,6.2,2426.94,0
Mean Value,Y669,3.52,3.46,1347.09,0
Random Walk,Y669,6.28,5.98,2358.27,0
Arima,Y669,3.29,3.21,1119.13,0
Theta,Y669,13.86,15.04,5700.36,0
Prophet,Y669,19.02,21.08,8051.91,0
Last Value,Y670,7.78,7.42,1575.63,0
Mean Value,Y670,26.46,23.19,4816.2,0
Random Walk,Y670,10.75,11.53,1449.93,0
Arima,Y670,20.77,18.36,3881.71,0
Theta,Y670,47.39,38.14,7711.44,0
Prophet,Y670,21.95,24.68,5002.4,0
Last Value,Y671,6.05,5.84,628.3,0
Mean Value,Y671,23.98,21.34,2264.15,0
Random Walk,Y671,3.53,3.61,278.86,0
Arima,Y671,1.5,1.53,151.75,0
Theta,Y671,48.22,38.71,4098.01,0
Prophet,Y671,1.86,1.9,176.68,0
Last Value,Y672,15.07,12.54,8530.4,0
Mean Value,Y672,13.58,11.24,7861.82,0
Random Walk,Y672,28.4,22.47,13943.62,0
Arima,Y672,14.03,12.21,8050.93,0
Theta,Y672,25.17,24.7,13507.1,0
Prophet,Y672,26.3,29.13,14836.86,0
Last Value,Y673,16.52,14.38,3351.46,0
Mean Value,Y673,37.25,30.76,6603.98,0
Random Walk,Y673,14.8,13.01,2481.0,0
Arima,Y673,8.97,7.93,1873.29,0
Theta,Y673,30.88,27.43,4859.03,0
Prophet,Y673,11.54,11.35,2256.19,0
Last Value,Y674,19.61,17.06,11251.3,0
Mean Value,Y674,21.84,18.17,12326.42,0
Random Walk,Y674,25.17,21.57,11079.71,0
Arima,Y674,20.4,18.59,10834.27,0
Theta,Y674,129.35,78.62,45077.6,0
Prophet,Y674,27.01,32.07,15328.34,0
Last Value,Y675,77.38,54.84,19716.5,0
Mean Value,Y675,104.94,68.31,23970.63,0
Random Walk,Y675,69.44,49.2,18341.09,0
Arima,Y675,85.73,59.18,21098.33,0
Theta,Y675,177.26,93.92,32124.2,0
Prophet,Y675,23.32,19.93,7623.44,0
Last Value,Y676,3.82,3.92,1330.0,0
Mean Value,Y676,4.24,4.13,1436.92,0
Random Walk,Y676,3.67,3.76,1274.59,0
Arima,Y676,3.93,4.03,1367.55,0
Theta,Y676,10.13,9.63,3320.0,0
Prophet,Y676,8.85,9.26,3175.4,0
Last Value,Y677,22.23,25.16,2500.0,0
Mean Value,Y677,7.28,6.93,714.74,0
Random Walk,Y677,19.75,21.96,2192.58,0
Arima,Y677,25.68,29.61,2948.13,0
Theta,Y677,4.39,4.42,440.0,0
Prophet,Y677,7.47,7.87,725.44,0
Last Value,Y678,31.13,29.05,2989.4,0
Mean Value,Y678,38.65,33.2,3617.79,0
Random Walk,Y678,43.9,37.04,3980.43,0
Arima,Y678,33.97,30.97,3234.18,0
Theta,Y678,36.32,30.22,2414.76,0
Prophet,Y678,13.91,16.9,1251.72,0
Last Value,Y679,8.59,8.15,6602.91,0
Mean Value,Y679,42.92,35.14,27453.23,0
Random Walk,Y679,7.65,7.52,5649.28,0
Arima,Y679,9.01,8.45,6909.51,0
Theta,Y679,72.02,52.92,40610.89,0
Prophet,Y679,11.99,12.8,6403.51,0
Last Value,Y680,8.3,8.66,2527.0,0
Mean Value,Y680,31.27,27.04,7904.53,0
Random Walk,Y680,7.48,7.63,2221.48,0
Arima,Y680,8.29,8.65,2523.84,0
Theta,Y680,93.9,63.71,18610.4,0
Prophet,Y680,24.61,28.4,8281.45,0
Last Value,Y681,39.52,32.32,9949.1,0
Mean Value,Y681,51.22,40.22,12218.6,0
Random Walk,Y681,53.51,40.64,12604.59,0
Arima,Y681,34.84,29.12,8961.77,0
Theta,Y681,67.48,50.39,14822.0,0
Prophet,Y681,28.46,24.36,7183.95,0
Last Value,Y682,97.9,64.86,10906.3,0
Mean Value,Y682,134.95,80.27,13158.53,0
Random Walk,Y682,113.57,70.82,12023.54,0
Arima,Y682,106.45,68.83,11469.58,0
Theta,Y682,160.46,88.98,14378.8,0
Prophet,Y682,97.86,65.14,10852.94,0
Last Value,Y683,6.11,5.95,2429.28,0
Mean Value,Y683,33.86,28.82,11513.62,0
Random Walk,Y683,7.58,7.68,2777.85,0
Arima,Y683,8.15,7.63,3183.89,0
Theta,Y683,47.8,38.18,14887.47,0
Prophet,Y683,17.29,18.96,7194.45,0
Last Value,Y684,3.54,3.49,936.9,0
Mean Value,Y684,22.29,20.01,5359.77,0
Random Walk,Y684,3.46,3.41,643.5,0
Arima,Y684,4.16,4.07,1097.73,0
Theta,Y684,48.81,38.71,10401.7,0
Prophet,Y684,4.55,4.66,930.08,0
Last Value,Y685,12.17,11.6,3328.42,0
Mean Value,Y685,23.27,20.51,6013.58,0
Random Walk,Y685,19.99,18.17,5266.63,0
Arima,Y685,6.81,6.8,1575.74,0
Theta,Y685,34.07,29.04,8098.97,0
Prophet,Y685,5.44,5.83,1301.04,0
Last Value,Y686,5.43,5.22,2020.0,0
Mean Value,Y686,11.4,10.7,4083.0,0
Random Walk,Y686,2.13,2.1,413.23,0
Arima,Y686,7.87,7.45,2877.51,0
Theta,Y686,26.53,23.41,8820.0,0
Prophet,Y686,4.66,4.52,1558.51,0
Last Value,Y687,18.15,16.17,2744.81,0
Mean Value,Y687,47.05,37.67,6117.41,0
Random Walk,Y687,30.04,25.44,4233.43,0
Arima,Y687,13.06,12.42,2033.4,0
Theta,Y687,36.18,30.35,3642.34,0
Prophet,Y687,20.3,18.07,2734.31,0
Last Value,Y688,14.89,13.54,6951.74,0
Mean Value,Y688,43.86,35.7,17650.3,0
Random Walk,Y688,14.09,12.85,6600.67,0
Arima,Y688,13.34,12.25,6288.86,0
Theta,Y688,54.67,42.93,20821.35,0
Prophet,Y688,10.74,10.02,4258.49,0
Last Value,Y689,0.82,0.81,62.4,0
Mean Value,Y689,11.06,11.71,891.57,0
Random Walk,Y689,3.17,3.11,196.75,0
Arima,Y689,0.81,0.81,62.13,0
Theta,Y689,20.99,23.51,1789.1,0
Prophet,Y689,18.17,20.0,1522.9,0
Last Value,Y690,3.33,3.39,524.8,0
Mean Value,Y690,7.52,7.25,1124.63,0
Random Walk,Y690,2.07,2.1,288.71,0
Arima,Y690,3.94,4.02,622.55,0
Theta,Y690,10.41,9.89,1534.7,0
Prophet,Y690,6.73,6.51,1009.83,0
Last Value,Y691,1.17,1.18,341.4,0
Mean Value,Y691,8.97,9.39,2728.83,0
Random Walk,Y691,2.14,2.17,613.19,0
Arima,Y691,0.83,0.83,235.65,0
Theta,Y691,19.59,21.77,6322.9,0
Prophet,Y691,17.91,19.69,5723.09,0
Last Value,Y692,1.98,1.95,243.5,0
Mean Value,Y692,11.92,12.69,1568.53,0
Random Walk,Y692,7.72,7.39,916.53,0
Arima,Y692,3.15,3.1,384.68,0
Theta,Y692,25.1,28.71,3552.7,0
Prophet,Y692,27.92,32.48,4017.59,0
Last Value,Y693,0.73,0.74,86.3,0
Mean Value,Y693,5.96,6.15,722.96,0
Random Walk,Y693,1.47,1.47,134.96,0
Arima,Y693,0.54,0.54,63.65,0
Theta,Y693,13.43,14.5,1702.6,0
Prophet,Y693,7.99,8.33,979.46,0
Last Value,Y694,2.36,2.4,150.1,0
Mean Value,Y694,15.61,16.95,1066.75,0
Random Walk,Y694,4.84,5.01,313.08,0
Arima,Y694,2.08,2.11,131.81,0
Theta,Y694,27.72,32.4,2035.6,0
Prophet,Y694,21.63,24.28,1528.28,0
Last Value,Y695,2.62,2.58,244.7,0
Mean Value,Y695,10.91,11.55,1086.93,0
Random Walk,Y695,2.99,2.93,277.75,0
Arima,Y695,4.91,4.79,451.51,0
Theta,Y695,24.73,28.41,2670.4,0
Prophet,Y695,18.52,20.43,1923.4,0
Last Value,Y696,0.36,0.36,75.4,0
Mean Value,Y696,6.37,6.58,1395.7,0
Random Walk,Y696,1.1,1.1,215.0,0
Arima,Y696,0.54,0.54,114.68,0
Theta,Y696,18.72,20.66,4384.3,0
Prophet,Y696,19.66,21.81,4627.91,0
Last Value,Y697,3.28,3.22,425.2,0
Mean Value,Y697,8.49,8.14,1073.71,0
Random Walk,Y697,1.22,1.21,123.72,0
Arima,Y697,3.15,3.1,409.09,0
Theta,Y697,14.04,13.11,1728.7,0
Prophet,Y697,13.07,12.26,1616.97,0
Last Value,Y698,5.08,4.91,2850.0,0
Mean Value,Y698,20.21,18.31,10470.0,0
Random Walk,Y698,10.07,9.41,5443.58,0
Arima,Y698,10.23,9.63,5560.8,0
Theta,Y698,36.58,30.92,17610.0,0
Prophet,Y698,1.96,1.99,982.37,0
Last Value,Y699,2.32,2.3,1040.0,0
Mean Value,Y699,4.95,4.8,2176.0,0
Random Walk,Y699,2.38,2.35,629.31,0
Arima,Y699,8.79,8.32,3775.43,0
Theta,Y699,11.91,11.2,4990.0,0
